127.0.0.1, 2010-10-03 21:46:15, GET, /, HTTP/1.1, 303, 0.003216
127.0.0.1, 2010-10-03 21:46:16, GET, /welcome/default/index, HTTP/1.1, 200, 1.130264
127.0.0.1, 2010-10-03 21:46:16, GET, /welcome/static/jquery.js, HTTP/1.1, 200, 0.002980
127.0.0.1, 2010-10-03 21:46:16, GET, /welcome/static/calendar.css, HTTP/1.1, 200, 0.004100
127.0.0.1, 2010-10-03 21:46:16, GET, /welcome/static/calendar.js, HTTP/1.1, 200, 0.011891
127.0.0.1, 2010-10-03 21:46:16, GET, /welcome/static/superfish.js, HTTP/1.1, 200, 0.006297
127.0.0.1, 2010-10-03 21:46:16, GET, /welcome/static/base.css, HTTP/1.1, 200, 0.012874
127.0.0.1, 2010-10-03 21:46:17, GET, /welcome/static/images/background.png, HTTP/1.1, 200, 0.002286
127.0.0.1, 2010-10-03 21:46:17, GET, /welcome/static/images/header.png, HTTP/1.1, 200, 0.002678
127.0.0.1, 2010-10-03 21:46:17, GET, /welcome/static/favicon.ico, HTTP/1.1, 200, 0.003083
127.0.0.1, 2010-10-03 21:51:44, GET, /, HTTP/1.1, 303, 0.003211
127.0.0.1, 2010-10-03 21:51:44, GET, /welcome/default/index, HTTP/1.1, 200, 0.104397
127.0.0.1, 2010-10-03 21:52:37, GET, /admin/default/index, HTTP/1.1, 200, 0.279922
127.0.0.1, 2010-10-03 21:52:37, GET, /admin/static/calendar.css, HTTP/1.1, 200, 0.002717
127.0.0.1, 2010-10-03 21:52:37, GET, /admin/static/jquery.js, HTTP/1.1, 200, 0.002810
127.0.0.1, 2010-10-03 21:52:37, GET, /admin/static/calendar.js, HTTP/1.1, 200, 0.002646
127.0.0.1, 2010-10-03 21:52:37, GET, /admin/static/styles.css, HTTP/1.1, 200, 0.002780
127.0.0.1, 2010-10-03 21:52:38, GET, /admin/static/title.png, HTTP/1.1, 200, 0.003895
127.0.0.1, 2010-10-03 21:52:38, GET, /favicon.ico, HTTP/1.1, 400, 0.002756
127.0.0.1, 2010-10-03 21:52:39, POST, /admin/default/index, HTTP/1.1, 303, 0.080279
127.0.0.1, 2010-10-03 21:52:40, GET, /admin/default/site, HTTP/1.1, 200, 0.116236
127.0.0.1, 2010-10-03 21:52:40, GET, /admin/static/styles.css, HTTP/1.1, 304, 0.002460
127.0.0.1, 2010-10-03 21:52:40, GET, /admin/static/calendar.js, HTTP/1.1, 304, 0.008906
127.0.0.1, 2010-10-03 21:52:40, GET, /admin/static/calendar.css, HTTP/1.1, 304, 0.004861
127.0.0.1, 2010-10-03 21:52:40, GET, /admin/static/title.png, HTTP/1.1, 304, 0.002479
127.0.0.1, 2010-10-03 21:52:41, POST, /admin/default/check_version, HTTP/1.1, 200, 0.744930
127.0.0.1, 2010-10-03 21:52:41, GET, /admin/default/twitter, HTTP/1.1, 200, 1.435676
127.0.0.1, 2010-10-03 21:52:41, GET, /favicon.ico, HTTP/1.1, 400, 0.002514
127.0.0.1, 2010-11-03 20:20:45, GET, /, HTTP/1.1, 303, 0.004094
127.0.0.1, 2010-11-03 20:20:46, GET, /welcome/default/index, HTTP/1.1, 200, 0.490993
127.0.0.1, 2010-11-03 20:20:46, GET, /welcome/static/jquery.js, HTTP/1.1, 200, 0.003041
127.0.0.1, 2010-11-03 20:20:46, GET, /welcome/static/calendar.js, HTTP/1.1, 200, 0.015640
127.0.0.1, 2010-11-03 20:20:46, GET, /welcome/static/calendar.css, HTTP/1.1, 200, 0.019523
127.0.0.1, 2010-11-03 20:20:46, GET, /welcome/static/base.css, HTTP/1.1, 200, 0.008870
127.0.0.1, 2010-11-03 20:20:46, GET, /welcome/static/superfish.js, HTTP/1.1, 200, 0.006390
127.0.0.1, 2010-11-03 20:20:47, GET, /welcome/static/images/header.png, HTTP/1.1, 200, 0.003911
127.0.0.1, 2010-11-03 20:20:47, GET, /welcome/static/images/background.png, HTTP/1.1, 200, 0.016474
127.0.0.1, 2010-11-03 20:20:47, GET, /welcome/static/favicon.ico, HTTP/1.1, 200, 0.002763
127.0.0.1, 2010-11-03 20:20:53, GET, /admin/default/index, HTTP/1.1, 200, 0.400104
127.0.0.1, 2010-11-03 20:20:53, GET, /admin/static/jquery.js, HTTP/1.1, 200, 0.005996
127.0.0.1, 2010-11-03 20:20:53, GET, /admin/static/calendar.css, HTTP/1.1, 200, 0.004791
127.0.0.1, 2010-11-03 20:20:53, GET, /admin/static/calendar.js, HTTP/1.1, 200, 0.002686
127.0.0.1, 2010-11-03 20:20:53, GET, /admin/static/styles.css, HTTP/1.1, 200, 0.007803
127.0.0.1, 2010-11-03 20:20:54, GET, /admin/static/title.png, HTTP/1.1, 200, 0.002006
127.0.0.1, 2010-11-03 20:20:54, GET, /favicon.ico, HTTP/1.1, 400, 0.002420
127.0.0.1, 2010-11-03 20:20:55, POST, /admin/default/index, HTTP/1.1, 303, 0.076288
127.0.0.1, 2010-11-03 20:20:55, GET, /admin/default/site, HTTP/1.1, 200, 0.142420
127.0.0.1, 2010-11-03 20:20:55, GET, /admin/static/jquery.js, HTTP/1.1, 304, 0.002421
127.0.0.1, 2010-11-03 20:20:55, GET, /admin/static/calendar.css, HTTP/1.1, 304, 0.007212
127.0.0.1, 2010-11-03 20:20:55, GET, /admin/static/calendar.js, HTTP/1.1, 304, 0.007466
127.0.0.1, 2010-11-03 20:20:55, GET, /admin/static/styles.css, HTTP/1.1, 304, 0.001948
127.0.0.1, 2010-11-03 20:20:56, GET, /admin/static/title.png, HTTP/1.1, 304, 0.002104
127.0.0.1, 2010-11-03 20:20:56, POST, /admin/default/check_version, HTTP/1.1, 200, 0.661762
127.0.0.1, 2010-11-03 20:20:57, GET, /admin/default/twitter, HTTP/1.1, 200, 1.568897
127.0.0.1, 2010-11-03 20:20:57, GET, /favicon.ico, HTTP/1.1, 400, 0.002426
127.0.0.1, 2010-11-03 20:21:01, GET, /admin/default/upgrade_web2py, HTTP/1.1, 200, 0.129321
127.0.0.1, 2010-11-03 20:21:01, GET, /favicon.ico, HTTP/1.1, 400, 0.001832
127.0.0.1, 2010-11-03 20:21:11, POST, /admin/default/upgrade_web2py, HTTP/1.1, 303, 7.739529
127.0.0.1, 2010-11-03 20:21:11, GET, /admin/default/site, HTTP/1.1, 200, 0.119100
127.0.0.1, 2010-11-03 20:21:11, GET, /admin/static/jquery.js, HTTP/1.1, 200, 0.008710
127.0.0.1, 2010-11-03 20:21:11, GET, /admin/static/calendar.js, HTTP/1.1, 200, 0.002752
127.0.0.1, 2010-11-03 20:21:11, GET, /admin/static/calendar.css, HTTP/1.1, 200, 0.003048
127.0.0.1, 2010-11-03 20:21:11, GET, /admin/static/styles.css, HTTP/1.1, 200, 0.003465
127.0.0.1, 2010-11-03 20:21:11, GET, /admin/static/title.png, HTTP/1.1, 200, 0.002295
127.0.0.1, 2010-11-03 20:21:13, GET, /admin/default/twitter, HTTP/1.1, 200, 1.746784
127.0.0.1, 2010-11-03 20:21:13, GET, /favicon.ico, HTTP/1.1, 400, 0.007972
127.0.0.1, 2010-11-03 20:21:20, GET, /admin/default/site, HTTP/1.1, 200, 0.347618
127.0.0.1, 2010-11-03 20:21:20, GET, /admin/static/jquery.js, HTTP/1.1, 304, 0.002615
